player_name,team,opponent,prop_type,line,odds_type,our_probability,pp_implied_probability,edge,expected_value,ev_pct,individual_multiplier,confidence,multiplier_source,reasoning
Cutter Gauthier,ANA,UNK,shots,3.5,demon,85.3%,50.0%,+35.3%,0.7066149230273262,+70.7%,2.0,20%,fallback_assumption,"Extrapolated from 2.5 (92.9%), normal distribution (mean=6.0, sd=2.4)"
Jack Eichel,VGK,UNK,shots,3.5,demon,79.7%,50.0%,+29.7%,0.5946903143284565,+59.5%,2.0,20%,fallback_assumption,"Extrapolated from 2.5 (90.5%), normal distribution (mean=5.2, sd=2.1)"
Cutter Gauthier,ANA,UNK,shots,4.5,demon,73.8%,50.0%,+23.8%,0.4756445207799962,+47.6%,2.0,20%,fallback_assumption,"Extrapolated from 2.5 (92.9%), normal distribution (mean=6.0, sd=2.4)"
Leo Carlsson,ANA,UNK,shots,2.5,demon,73.8%,50.0%,+23.8%,0.47564452077999597,+47.6%,2.0,20%,fallback_assumption,2.8 SOG/G
Victor Olofsson,COL,UNK,shots,2.5,demon,69.5%,50.0%,+19.5%,0.3905791054652634,+39.1%,2.0,20%,fallback_assumption,3.0 SOG/G | Underdog (GS: 1.05x)
Jack Eichel,VGK,UNK,points,0.5,goblin,95.0%,70.7%,+24.3%,0.34329999999999994,+34.3%,1.414,20%,fallback_assumption,1.90 PPG | Favorite (GS: 1.08x)
Nathan MacKinnon,COL,UNK,points,0.5,goblin,95.0%,70.7%,+24.3%,0.34329999999999994,+34.3%,1.414,20%,fallback_assumption,1.55 PPG | Underdog (GS: 1.05x)
Dylan Larkin,DET,UNK,points,0.5,goblin,95.0%,70.7%,+24.3%,0.34329999999999994,+34.3%,1.414,20%,fallback_assumption,1.45 PPG
Kyle Palmieri,NYI,UNK,shots,2.5,demon,67.2%,50.0%,+17.2%,0.34301449327626155,+34.3%,2.0,20%,fallback_assumption,3.2 SOG/G | Underdog (GS: 1.00x)
Pavel Dorofeyev,VGK,UNK,shots,1.5,goblin,93.9%,70.7%,+23.2%,0.32783546279128073,+32.8%,1.414,20%,fallback_assumption,"Extrapolated from 2.5 (81.9%), normal distribution (mean=3.9, sd=1.6)"
Leo Carlsson,ANA,UNK,points,0.5,goblin,93.8%,70.7%,+23.1%,0.32621416666666647,+32.6%,1.414,20%,fallback_assumption,1.22 PPG
Cutter Gauthier,ANA,UNK,shots,2.5,goblin,92.9%,70.7%,+22.1%,0.312916966398862,+31.3%,1.414,20%,fallback_assumption,5.0 SOG/G
Emmitt Finnie,DET,UNK,points,0.5,demon,65.0%,50.0%,+15.0%,0.2991999999999999,+29.9%,2.0,20%,fallback_assumption,0.80 PPG
Valeri Nichushkin,COL,UNK,shots,2.5,demon,64.9%,50.0%,+14.9%,0.29796231051915534,+29.8%,2.0,20%,fallback_assumption,2.8 SOG/G | Underdog (GS: 1.05x)
Leo Carlsson,ANA,UNK,shots,1.5,goblin,91.7%,70.7%,+20.9%,0.2959483106183527,+29.6%,1.414,20%,fallback_assumption,"Extrapolated from 2.5 (73.8%), normal distribution (mean=3.4, sd=1.3)"
Mitch Marner,VGK,UNK,points,0.5,goblin,91.5%,70.7%,+20.8%,0.29439292150000007,+29.4%,1.414,20%,fallback_assumption,1.20 PPG | Favorite (GS: 1.08x)
Bo Horvat,NYI,UNK,shots,1.5,goblin,91.5%,70.7%,+20.8%,0.29380486046594534,+29.4%,1.414,20%,fallback_assumption,"Extrapolated from 2.5 (73.2%), normal distribution (mean=3.3, sd=1.3)"
Cale Makar,COL,UNK,points,0.5,goblin,91.4%,70.7%,+20.7%,0.2925647159090907,+29.3%,1.414,20%,fallback_assumption,1.36 PPG | Underdog (GS: 1.05x)
Jack Eichel,VGK,UNK,shots,2.5,goblin,90.5%,70.7%,+19.7%,0.2792196459481531,+27.9%,1.414,20%,fallback_assumption,4.4 SOG/G | Favorite (GS: 1.08x)
Victor Olofsson,COL,UNK,shots,1.5,goblin,90.4%,70.7%,+19.7%,0.2787021656468973,+27.9%,1.414,20%,fallback_assumption,"Extrapolated from 2.5 (69.5%), normal distribution (mean=3.1, sd=1.3)"
Jack Eichel,VGK,UNK,shots,4.5,demon,63.9%,50.0%,+13.9%,0.2779008123634483,+27.8%,2.0,20%,fallback_assumption,"Extrapolated from 2.5 (90.5%), normal distribution (mean=5.2, sd=2.1)"
Nathan MacKinnon,COL,UNK,shots,3.5,standard,73.4%,57.7%,+15.7%,0.27106471164445733,+27.1%,1.732,20%,fallback_assumption,"Extrapolated from 2.5 (87.7%), normal distribution (mean=4.7, sd=1.9)"
Cale Makar,COL,UNK,shots,1.5,goblin,89.8%,70.7%,+19.1%,0.2695218210237498,+27.0%,1.414,20%,fallback_assumption,"Extrapolated from 2.5 (67.3%), normal distribution (mean=3.0, sd=1.2)"
Kyle Palmieri,NYI,UNK,shots,1.5,goblin,89.7%,70.7%,+19.0%,0.2688154564076153,+26.9%,1.414,20%,fallback_assumption,"Extrapolated from 2.5 (67.2%), normal distribution (mean=3.0, sd=1.2)"
Bo Horvat,NYI,UNK,shots,2.5,standard,73.2%,57.7%,+15.5%,0.26863821319089065,+26.9%,1.732,20%,fallback_assumption,3.5 SOG/G | Underdog (GS: 1.00x)
Dylan Larkin,DET,UNK,shots,1.5,goblin,89.3%,70.7%,+18.6%,0.26238307878274614,+26.2%,1.414,20%,fallback_assumption,"Extrapolated from 2.5 (65.6%), normal distribution (mean=3.0, sd=1.2)"
Lukas Dostal,ANA,UNK,goalie_saves,29.5,demon,63.0%,50.0%,+13.0%,0.26011833923820005,+26.0%,2.0,20%,fallback_assumption,"Saves model: 25.6 saves (SV%=0.906, σ=6.0, confidence=80%) | Distance: -3.9 saves from 29.5 line"
Valeri Nichushkin,COL,UNK,shots,1.5,goblin,89.1%,70.7%,+18.3%,0.2592600557198699,+25.9%,1.414,20%,fallback_assumption,"Extrapolated from 2.5 (64.9%), normal distribution (mean=3.0, sd=1.2)"
Artturi Lehkonen,COL,UNK,points,0.5,standard,72.4%,57.7%,+14.6%,0.2534267499999998,+25.3%,1.732,20%,fallback_assumption,1.00 PPG | Underdog (GS: 1.05x)
Nathan MacKinnon,COL,UNK,shots,2.5,goblin,87.7%,70.7%,+17.0%,0.24015924617353268,+24.0%,1.414,20%,fallback_assumption,4.5 SOG/G | Underdog (GS: 1.05x)
John Carlson,WSH,UNK,shots,1.5,goblin,87.4%,70.7%,+16.6%,0.23515713283699324,+23.5%,1.414,20%,fallback_assumption,"Extrapolated from 2.5 (59.4%), normal distribution (mean=2.8, sd=1.1)"
Anders Lee,NYI,UNK,shots,1.5,goblin,87.3%,70.7%,+16.5%,0.2338772347646001,+23.4%,1.414,20%,fallback_assumption,"Extrapolated from 2.5 (59.1%), normal distribution (mean=2.8, sd=1.1)"
Tomas Hertl,VGK,UNK,shots,1.5,goblin,87.1%,70.7%,+16.4%,0.2320281789097438,+23.2%,1.414,20%,fallback_assumption,"Extrapolated from 2.5 (58.7%), normal distribution (mean=2.7, sd=1.1)"
Troy Terry,ANA,UNK,points,0.5,goblin,87.1%,70.7%,+16.4%,0.2313583333333331,+23.1%,1.414,20%,fallback_assumption,1.11 PPG
Aliaksei Protas,WSH,UNK,shots,1.5,goblin,86.7%,70.7%,+16.0%,0.2261555109583946,+22.6%,1.414,20%,fallback_assumption,"Extrapolated from 2.5 (57.5%), normal distribution (mean=2.7, sd=1.1)"
Pavel Dorofeyev,VGK,UNK,shots,3.5,demon,60.9%,50.0%,+10.9%,0.21763202756391253,+21.8%,2.0,20%,fallback_assumption,"Extrapolated from 2.5 (81.9%), normal distribution (mean=3.9, sd=1.6)"
Anders Lee,NYI,UNK,points,0.5,demon,60.4%,50.0%,+10.4%,0.20799999999999996,+20.8%,2.0,20%,fallback_assumption,0.80 PPG | Underdog (GS: 1.00x)
Kyle Palmieri,NYI,UNK,points,0.5,demon,60.4%,50.0%,+10.4%,0.20799999999999996,+20.8%,2.0,20%,fallback_assumption,0.80 PPG | Underdog (GS: 1.00x)
Logan Thompson,WSH,UNK,goalie_saves,27.5,demon,60.3%,50.0%,+10.3%,0.20517905250000013,+20.5%,2.0,20%,fallback_assumption,"Saves model: 25.4 saves (SV%=0.939, σ=4.0, confidence=80%) | Distance: -2.1 saves from 27.5 line"
