Player,Team,Opponent,Prop Type,Line,Probability (%),Expected Value,Confidence Tier,Model,Reasoning
Dylan Larkin,DET,ANA,POINTS,0.5,95.0,1.59,T1-ELITE,Statistical,1.45 PPG
Nathan MacKinnon,COL,VGK,POINTS,0.5,95.0,1.62,T1-ELITE,Statistical,1.55 PPG | Underdog (GS: 1.05x)
Mark Stone,VGK,COL,POINTS,0.5,95.0,2.58,T1-ELITE,Statistical,2.17 PPG | Favorite (GS: 1.08x)
Jack Eichel,VGK,COL,POINTS,0.5,95.0,2.27,T1-ELITE,Statistical,1.90 PPG | Favorite (GS: 1.08x)
Leo Carlsson,ANA,DET,POINTS,0.5,93.8,1.48,T1-ELITE,Statistical,1.22 PPG
Cutter Gauthier,ANA,DET,SHOTS,2.5,92.9,6.04,T1-ELITE,Statistical,5.0 SOG/G
Mitch Marner,VGK,COL,POINTS,0.5,91.5,1.43,T1-ELITE,Statistical,1.20 PPG | Favorite (GS: 1.08x)
Cale Makar,COL,VGK,POINTS,0.5,91.4,1.43,T1-ELITE,Statistical,1.36 PPG | Underdog (GS: 1.05x)
Jack Eichel,VGK,COL,SHOTS,2.5,90.5,5.25,T1-ELITE,Statistical,4.4 SOG/G | Favorite (GS: 1.08x)
Nathan MacKinnon,COL,VGK,SHOTS,2.5,87.7,4.67,T1-ELITE,Statistical,4.5 SOG/G | Underdog (GS: 1.05x)
Troy Terry,ANA,DET,POINTS,0.5,87.1,1.34,T1-ELITE,Statistical,1.11 PPG
